Time,Temperature
1584348758.4353728,49.0
1584348758.5442696,33.0
1584348758.6551862,48.0
1584348758.7643702,48.0
1584348758.8732672,44.0
1584348758.9821644,45.0
1584348759.0910876,44.0
1584348759.2018645,42.0
1584348759.3105814,48.0
1584348759.4205995,50.0
1584348759.5291817,33.0
1584348759.6382048,31.0
1584348759.7491016,48.0
1584348759.8585749,36.0
1584348759.9673128,40.0
1584348760.075457,48.0
1584348760.1873493,31.0
1584348760.2942488,37.0
1584348760.4051447,44.0
1584348760.5137513,36.0
1584348760.6263409,37.0
1584348760.7337587,47.0
1584348760.8432572,41.0
1584348760.952061,33.0
1584348761.0630045,39.0
1584348761.1697185,36.0
1584348761.2817874,33.0
1584348761.3897636,46.0
1584348761.4995217,42.0
1584348761.6088235,40.0
1584348761.7164876,33.0
1584348761.8291495,42.0
1584348761.9365156,42.0
1584348762.044149,32.0
1584348762.1540449,32.0
1584348762.2650497,44.0
1584348762.3719485,35.0
1584348762.483843,38.0
1584348762.59274,31.0
1584348762.7007942,46.0
1584348762.8114028,30.0
1584348762.919575,45.0
1584348763.0298522,39.0
1584348763.1376767,49.0
1584348763.2481902,48.0
1584348763.3600597,50.0
1584348763.468616,38.0
1584348763.5771317,37.0
1584348763.6880448,40.0
1584348763.7940824,37.0
1584348763.9037144,49.0
1584348764.0154061,47.0
1584348764.1224797,38.0
1584348764.2314582,41.0
1584348764.3410623,44.0
1584348764.4504106,50.0
1584348764.5613227,34.0
1584348764.672805,41.0
1584348764.779076,50.0
1584348764.8893137,49.0
1584348765.0005686,33.0
1584348765.1076977,44.0
1584348765.2195036,37.0
1584348765.3250782,45.0
1584348765.4346404,49.0
1584348765.5445495,38.0
1584348765.654342,32.0
1584348765.7630987,42.0
1584348765.8756151,50.0
1584348765.982097,33.0
1584348766.090882,31.0
1584348766.2005887,35.0
1584348766.3129756,42.0
1584348766.4198737,44.0
1584348766.5297668,45.0
1584348766.6381094,35.0
1584348766.747332,34.0
1584348766.8587983,37.0
1584348766.9666953,30.0
1584348767.0755935,40.0
1584348767.1874862,31.0
1584348767.2963846,34.0
1584348767.4039135,38.0
1584348767.513808,31.0
1584348767.6267028,50.0
1584348767.7336018,33.0
1584348767.842891,41.0
1584348767.951112,32.0
1584348768.0598593,45.0
1584348768.1708663,31.0
1584348768.2811484,44.0
1584348768.389048,47.0
1584348768.4969466,43.0
1584348768.6098373,47.0
1584348768.7177355,49.0
1584348768.8276324,43.0
1584348768.9350193,41.0
1584348769.046649,40.0
1584348769.154481,49.0
1584348769.2633762,49.0
1584348769.3722742,47.0
1584348769.4841683,35.0
1584348769.5920663,39.0
1584348769.7009633,44.0
1584348769.8098607,42.0
1584348769.9221373,31.0
1584348770.0282896,46.0
1584348770.138187,32.0
1584348770.2500813,48.0
